id,color,outline,name,style_url,coordinates,name2,value,radius,coordinates5,coordinates6,created_at,updated_at,type,address,street,city,state,country,coords,contact_person,contact_phone,contact_email,operating_hours,capacity,notes,facilities
11,null,null,Game KZN Depot Fill Location,#Style634658,"31.006427,-29.783869,0 31.006667,-29.783549,0 31.006867,-29.78332,0 31.0072,-29.783352,0 31.007217,-29.783577,0 31.006705,-29.784043,0 31.006553,-29.783979,0",Comment1,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
12,null,null,Game KZN Depot Fill Location,#Style634658,"31.006427,-29.783869,0 31.006667,-29.783549,0 31.006867,-29.78332,0 31.0072,-29.783352,0 31.007217,-29.783577,0 31.006705,-29.784043,0 31.006553,-29.783979,0",Comment2,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
13,null,null,Game KZN Depot Fill Location,#Style634658,"31.006427,-29.783869,0 31.006667,-29.783549,0 31.006867,-29.78332,0 31.0072,-29.783352,0 31.007217,-29.783577,0 31.006705,-29.784043,0 31.006553,-29.783979,0",landmark_type,2,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
14,null,null,Soweto1 - HIGH RISK AREA,#Style634845,"27.808112,-26.21459,0 27.8088,-26.242923,0 27.821501,-26.29249,0 27.847939,-26.293106,0 27.86888,-26.301418,0 27.897034,-26.302033,0 27.919004,-26.300186,0 27.924155,-26.27987,0 27.934799,-26.276177,0 27.943038,-26.271867,0 27.958144,-26.25401,0 27.955742,-26.238305,0 27.955055,-26.227219,0 27.879867,-26.185943,0 27.818411,-26.182862,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
15,null,null,Kagiso - HIGH RISK AREA,#Style634846,"27.717133,-26.161909,0 27.713698,-26.174851,0 27.734299,-26.181013,0 27.780646,-26.170843,0 27.802277,-26.162524,0 27.799872,-26.153589,0 27.809484,-26.144342,0 27.809484,-26.128008,0 27.786484,-26.117218,0 27.754553,-26.124617,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
16,null,null,Lenasia1 - HIGH RISK AREA,#Style634847,"27.824248,-26.311727,0 27.826653,-26.326806,0 27.828368,-26.343422,0 27.852916,-26.348652,0 27.856864,-26.332806,0 27.862186,-26.32373,0 27.833176,-26.308803,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
17,null,null,Lenasia2 - HIGH RISK AREA,#Style634848,"27.842358,-26.310497,0 27.853947,-26.316344,0 27.865362,-26.321652,0 27.869395,-26.314036,0 27.848883,-26.306726,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
18,null,null,Orange Farm - HIGH RISK AREA,#Style634849,"27.866821,-26.448288,0 27.855492,-26.455819,0 27.828195,-26.508983,0 27.831458,-26.538011,0 27.878665,-26.542618,0 27.889652,-26.498228,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
19,null,null,Sebokeng - HIGH RISK AREA,#Style634850,"27.832488,-26.545998,0 27.832146,-26.558129,0 27.823906,-26.59436,0 27.851026,-26.596049,0 27.886389,-26.562888,0 27.893598,-26.54661,0 27.881754,-26.540469,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
20,null,null,Orange Farm2 - HIGH RISK AREA,#Style634851,"27.858753,-26.44998,0 27.852402,-26.454283,0 27.840042,-26.476258,0 27.838066,-26.480484,0 27.824936,-26.4791,0 27.839441,-26.459969,0 27.850943,-26.44798,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
